SL,Name,Scope
1,Transportation Research Part C: Emerging Technologies,"      The focus of Transportation Research: Part C is high-quality, scholarly research that addresses development, applications, and implications, in the field of transportation, of emerging technologies from such fields as operations research, computer science, electronics, control systems, artificial intelligence, and telecommunications, among others. The interest is not in the individual technologies or methodologies per se, but in their ultimate implications for the planning, design, operation, control, management, maintenance and rehabilitation of transportation systems, services and components.Of particular interest are the impacts of emerging technologies on transportation system performance, in terms of level of service, capacity, safety, reliability, resource consumption and the environment, economics and finance, privacy, standards, and liability. Submissions in the following areas of transportation are encouraged by Part C: the impact of emerging technologies for all modes and for intermodal transportation; intelligent transportation systems; real-time operations; logistics; resource management; consumer/traveler adoption, acceptance and usage of new technologies; infrastructure applications of emerging technologies.        "
2,"Transportation Research, Series B: Methodological","      Transportation Research: Part B publishes papers on all methodological aspects of the subject, particularly those that require mathematical analysis. The general theme of the journal is the development and solution of problems that are adequately motivated to deal with important aspects of the design and/or analysis of transportation systems. Areas covered include: traffic flow; design and analysis of transportation networks; control and scheduling; optimization; queuing theory; logistics; supply chains; development and application of statistical, econometric and mathematical models to address transportation problems; cost models; pricing and/or investment; traveler or shipper behavior; cost-benefit methodologies.        "
3,Water Research,"      Water Research has an open access mirror journal Water Research X, sharing the same aims and scope, editorial team, submission system and rigorous peer review. Water Research publishes refereed, original research papers on all aspects of the science and technology of water quality and its management worldwide. A broad outline of the journal's scope includes:-Treatment processes for water and wastewaters, municipal, agricultural and industrial, including residuals management.-Water quality monitoring and assessment, based on chemical, physical and biological methods.-Studies on inland, tidal or coastal waters and urban waters, including surface and ground waters, and point and non-point sources of pollution.-The limnology of lakes, impoundments and rivers.-Solid and hazardous waste management, including source characterization and the effects and control of leachates and gaseous emissions.-Environmental restoration, including soil and groundwater remediation.-Analysis of the interfaces between sediments and water, and water/atmosphere interactions.-The application of mathematical modelling and system analysis techniques.-Public health and risk assessment.-Socio-economic studies.Audience:Biologists, chemical engineers, chemists, civil engineers, environmental engineers, limnologists and microbiologists.        "
4,Computer-Aided Civil and Infrastructure Engineering,"      The scope of the journal includes bridge, construction, environmental, highway, geotechnical, structural, transportation, and water resources engineering, and management of infrastructure systems such as highways, bridges, pavements, airports, and utilities. Areas covered by the journal include artificial intelligence, cognitive modeling, concurrent engineering, database management, distributed computing, evolutionary computing, fuzzy logic, genetic algorithms, geometric modeling, internet-based technologies, knowledge discovery and engineering, machine learning, mobile computing, multimedia technologies, networking, neural network computing, optimization and search, parallel processing, robotics, smart structures, software engineering, virtual reality, and visualization techniques.        "
5,Mechanical Systems and Signal Processing,"      Mechanical Systems and Signal Processing (MSSP) is an interdisciplinary journal in Mechanical, Aerospace and Civil Engineering with the purpose of reporting scientific advancements of the highest quality arising from new techniques in sensing, instrumentation, signal processing, modelling and control of dynamic systems. MSSP papers are expected to make a demonstrable original contribution to engineering knowledge, which should be significant in terms of advancement over established methods. Especially sought are papers that include both theoretical and experimental aspects, or that include theoretical material of high relevance to practical applications        "
6,"Transportation Research, Part A: Policy and Practice","      Transportation Research: Part A contains papers of general interest in all passenger and freight transportation modes: policy analysis, formulation and evaluation; planning; interaction with the political, socioeconomic and physical environment; design, management and evaluation of transportation systems. Topics are approached from any discipline or perspective: economics, engineering, sociology, psychology, etc. Case studies, survey and expository papers are included, as are articles which contribute to unification of the field, or to an understanding of the comparative aspects of different systems. Papers which assess the scope for technological innovation within a social or political framework are also published. The journal is international, and places equal emphasis on the problems of industrialized and non-industrialized regions.Part A's aims and scope are complementary to Transportation Research Part B: Methodological, Part C: Emerging Technologies and Part D: Transport and Environment. Part E: Logistics and Transportation Review. Part F: Traffic Psychology and Behaviour. The complete set forms the most cohesive and comprehensive reference of current research in transportation science.        "
7,Rock Mechanics and Rock Engineering,"      Rock Mechanics and Rock Engineering covers the experimental and theoretical aspects of rock mechanics, including laboratory and field testing, methods of computation and field observation of structural behavior. The journal maintains the strong link between engineering geology and rock engineering, providing a bridge between fundamental developments and practical application. Coverage includes case histories on design and construction of structures in rock such as underground openings, large dam foundations and rock slopes.Fields of interest include rock mechanics in all its varied aspects including laboratory testing, field investigations, computational methods and design principles. The journal also reports on applications in tunneling, rock slopes, large dam foundations, mining, engineering and engineering geology.        "
8,"Transportation Research, Part E: Logistics and Transportation Review","      Transportation Research Part E: Logistics and Transportation Review publishes informative and high quality articles drawn from across the spectrum of logistics and transportation research. Subjects include, but are not limited to:Transport economics including cost and production functions, capacity, demand, pricing, externalities, modal studies;Transport infrastructure and investment appraisal;Evaluation of public policies related to transportation;Empirical and analytical studies of logistics management practices and performance;Logistics and operations models, especially with applications;Logistics and supply-chain management topics.Part E's aims and scope are complementary to Transportation Research Part A: Policy and Practice, Part B: Methodological, Part C: Emerging Technologies, Part D: Transport and Environment and Part F: Traffic Psychology and Behaviour. The complete set forms the most cohesive and comprehensive reference of current research in transportation science.        "
9,Canadian Geotechnical Journal,"      Published since 1963, this monthly journal features articles, notes, reviews, and discussions related to new developments in geotechnical and geoenvironmental engineering, and applied sciences. The topics of papers written by researchers and engineers/scientists active in industry include soil and rock mechanics, material properties and fundamental behaviour, site characterization, foundations, excavations, tunnels, dams and embankments, slopes, landslides, geological and rock engineering, ground improvement, hydrogeology and contaminant hydrogeology, geochemistry, waste management, geosynthetics, offshore engineering, ice, frozen ground and northern engineering, risk and reliability applications, and physical and numerical modelling. Contributions that have practical relevance are preferred, including case records. Purely theoretical contributions are not generally published unless they are on a topic of special interest (like unsaturated soil mechanics or cold regions geotechnics) or they have direct practical value.        "
10,Transportation Science,"      Transportation Science, published quarterly by INFORMS, is the flagship journal of the Transportation Science and Logistics Society of INFORMS. As the foremost scientific journal in the cross-disciplinary operational research field of transportation analysis, Transportation Science publishes high-quality original contributions and surveys on phenomena associated with all modes of transportation, present and prospective, including mainly all levels of planning, design, economic, operational, and social aspects. Transportation Science focuses primarily on fundamental theories, coupled with observational and experimental studies of transportation and logistics phenomena and processes, mathematical models, advanced methodologies and novel applications in transportation and logistics systems analysis, planning and design. The journal covers a broad range of topics that include vehicular and human traffic flow theories, models and their application to traffic operations and management, strategic, tactical, and operational planning of transportation and logistics systems; performance analysis methods and system design and optimization; theories and analysis methods for network and spatial activity interaction, equilibrium and dynamics; economics of transportation system supply and evaluation; methodologies for analysis of transportation user behavior and the demand for transportation and logistics services.Transportation Science is international in scope, with editors from nations around the globe. The editorial board reflects the diverse interdisciplinary interests of the transportation science and logistics community, with members that hold primary affiliations in engineering (civil, industrial, and aeronautical), physics, economics, applied mathematics, and business.        "
